user_id,registration_date,user_info
CCBP1011USR,2021-05-14,"{""address"": {""city"":""KAKINADA"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1997-03-01""}"
CCBP1012USR,2021-05-15,"{""address"": {""city"":""Visakhapatnam"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""5.0""},""profile"":{""gender"":""female""},""dob"":""1996-06-01""}"
CCBP1013USR,2021-05-16,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""female""},""dob"":""1999-03-01""}"
CCBP1014USR,2021-06-06,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""Degree"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1997-09-01""}"
CCBP1015USR,2021-06-07,"{""address"": {""city"":""Chittoor"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Degree"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":""1994-11-01""}"
CCBP1016USR,2021-06-08,"{""address"": {""city"":""Kurnool"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""8.0""},""profile"":{""gender"":""male""},""dob"":""1997-12-01""}"
CCBP1017USR,2021-06-09,"{""address"": {""city"":""Guntoor"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""7.0""},""profile"":{""gender"":""female""},""dob"":""2000-02-01""}"
CCBP1018USR,2021-06-10,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""9.0""},""profile"":{""gender"":""male""},""dob"":""1997-01-01""}"
CCBP1019USR,2021-06-11,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""9.8""},""profile"":{""gender"":""male""},""dob"":""1997-01-30""}"
CCBP1020USR,2021-06-12,"{""address"": {""city"":""Banglore"", ""state"":""Karnataka"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""9.2""},""profile"":{""gender"":""male""},""dob"":""1998-01-01""}"
CCBP1021USR,2021-06-13,"{""address"": {""city"":""Visakhapatnam"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Ph.d"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":""1998-11-01""}"
CCBP1022USR,2021-06-14,"{""address"": {""city"":""Kakinada"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1993-01-01""}"
CCBP1023USR,2021-06-15,"{""address"": {""city"":""Visakhapatnam"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":""1993-01-01""}"
CCBP1024USR,2021-06-16,"{""address"": {""city"":""hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""Ph.d"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1993-01-01""}"
CCBP1025USR,2021-06-17,"{""address"": {""city"":""hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1993-01-01""}"
CCBP1026USR,2021-06-18,"{""address"": {""city"":""Chittoor"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":""1993-01-01""}"
CCBP1027USR,2021-06-19,"{""address"": {""city"":""Kurnool"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1994-12-31""}"
CCBP1028USR,2021-06-20,"{""address"": {""city"":""Guntoor"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Ph.d"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":""1994-12-31""}"
CCBP1029USR,2021-06-21,"{""address"": {""city"":""HYDERABAD"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""920""},""profile"":{""gender"":""male""},""dob"":""1994-12-31""}"
CCBP1030USR,2021-06-08,"{""address"": {""city"":""Visakhapatnam"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":""1994-12-31""}"
CCBP1031USR,2021-07-05,"{""address"": {""city"":""West Godavari"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1994-12-31""}"
CCBP1032USR,2021-07-05,"{""address"": {""city"":""vizag"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""5.0""},""profile"":{""gender"":""male""},""dob"":""1994-12-31""}"
CCBP1033USR,2021-07-06,"{""address"": {""city"":""HYDERABAD"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1995-12-31""}"
CCBP1034USR,2021-04-30,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1998-12-31""}"
CCBP1035USR,2021-05-01,"{""address"": {""city"":""chittoor"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Ph.d"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":""1998-12-31""}"
CCBP1036USR,2021-05-02,"{""address"": {""city"":""Bengaluru"", ""state"":""Karnataka"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""8.0""},""profile"":{""gender"":""male""},""dob"":""1998-12-31""}"
CCBP1037USR,2021-05-03,"{""address"": {""city"":""Guntoor"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""7.0""},""profile"":{""gender"":""male""},""dob"":""1998-12-31""}"
CCBP1038USR,2021-05-04,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""9.0""},""profile"":{""gender"":""male""},""dob"":""1995-08-31""}"
CCBP1039USR,2021-05-05,"{""address"": {""city"":""Bengaluru"", ""state"":""Karnataka"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""9.8""},""profile"":{""gender"":""male""},""dob"":1999-08-31""}"
CCBP1040USR,2021-05-06,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""920""},""profile"":{""gender"":""male""},""dob"":1999-08-31""}"
CCBP1041USR,2021-05-07,"{""address"": {""city"":""Vizag"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""female""},""dob"":1999-08-31""}"
CCBP1042USR,2021-05-08,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""female""},""dob"":1999-08-31""}"
CCBP1043USR,2021-07-16,"{""address"": {""city"":""Hyderabad"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":1999-08-31""}"
CCBP1044USR,2021-07-17,"{""address"": {""city"":""Chittoor"", ""state"":""Telangana"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":1999-08-31""}"
CCBP1045USR,2021-07-18,"{""address"": {""city"":""Chennai"", ""state"":""Tamil Nadu"",""country"": ""India""},""education_info"":{""highest_degree"":""10th"",""cgpa"":""8.2""},""profile"":{""gender"":""male""}},""dob"":""1995-12-31"""
CCBP1046USR,2021-07-19,"{""address"": {""city"":""Guntoor"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""female""},""dob"":""1995-08-31""}"
CCBP1047USR,2021-07-20,"{""address"": {""city"":""Coimbatore"", ""state"":""Tamil Nadu"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""9.2""},""profile"":{""gender"":""male""},""dob"":""1995-08-31""}"
CCBP1048USR,2021-07-21,"{""address"": {""city"":""Vizag"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""B.Tech"",""cgpa"":""7.2""},""profile"":{""gender"":""male""},""dob"":""1995-08-31""}"
CCBP1049USR,4000-06-01,"{""address"": {""city"":""Kakinada"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Ph.d"",""cgpa"":""8.2""},""profile"":{""gender"":""male""},""dob"":""1995-12-31""}"
CCBP1050USR,4000-06-01,"{""address"": {""city"":""Vizag"", ""state"":""Andhra Pradesh"",""country"": ""India""},""education_info"":{""highest_degree"":""Inter"",""cgpa"":""5.0""},""profile"":{""gender"":""female""},""dob"":""1995-12-31""}"
